Timestamp, Memory Usage
1685622094.106768, 8
1685622094.107156, 0
1685622095.159982, 8
1685622095.160307, 0
1685622096.821813, 2073854
1685622096.829516, 4147708
1685622096.834781, 6221562
1685622096.846068, 8295416
1685622096.850619, 10369270
1685622096.854048, 12443124
1685622096.862630, 14516978
1685622096.869505, 16590832
1685622096.876368, 18664686
1685622096.877345, 20738540
1685622096.887504, 22812394
1685622096.889333, 24886248
1685622096.900579, 26960102
1685622096.902361, 29033956
1685622096.913204, 31107810
1685622096.915868, 33181664
1685622096.925137, 35255518
1685622096.927826, 37329372
1685622096.932691, 39403226
1685622096.940470, 41477080
1685622096.958503, 43550934
1685622096.958696, 45624788
1685622096.993255, 47698642
1685622096.996164, 49772496
1685622097.024324, 51846350
1685622097.033181, 53920204
1685622097.065173, 55994058
1685622097.065887, 58067912
1685622097.096713, 60141766
1685622097.098192, 62215620
1685622097.133565, 64289474
1685622097.135795, 66363328
1685622097.167091, 68437182
1685622097.169502, 70511036
1685622097.203826, 72584890
1685622097.206003, 74658744
1685622097.237563, 76732598
1685622097.239760, 78806452
1685622097.273630, 80880306
1685622097.274428, 82954160
1685622097.305592, 85028014
1685622097.309130, 87101868
1685622097.336448, 89175722
1685622097.343990, 91249576
1685622097.371708, 93323430
1685622097.377484, 95397284
1685622097.404218, 97471138
1685622097.409130, 99544992
1685622097.445197, 101618846
1685622097.446621, 103692700
1685622097.483819, 105766554
1685622097.485157, 107840408
1685622097.511803, 109914262
1685622097.514841, 111988116
1685622097.546366, 114061970
1685622097.550963, 116135824
1685622097.580759, 118209678
1685622097.581887, 120283532
1685622097.632984, 122357386
1685622097.633425, 124431240
1685622097.641310, 124431248
1685622097.643071, 124431240
1685622097.648219, 126505094
1685622097.651094, 128578948
1685622097.730526, 130652802
1685622097.736305, 130652810
1685622097.736886, 130652802
1685622097.742188, 132726656
1685622097.749106, 134800510
1685622097.759851, 136874364
1685622097.762259, 138948218
1685622097.762707, 138948226
1685622097.763137, 138948218
1685622097.771218, 141022072
1685622097.783674, 143095926
1685622097.787447, 145169780
1685622097.817322, 147243634
1685622097.821857, 149317488
1685622097.850789, 151391342
1685622097.851547, 153465196
1685622097.888076, 155539050
1685622097.889405, 157612904
1685622097.928678, 159686758
1685622097.928771, 161760612
1685622097.960519, 163834466
1685622097.961595, 165908320
1685622097.992035, 167982174
1685622097.993531, 170056028
1685622098.024585, 172129882
1685622098.028584, 174203736
1685622098.062678, 176277590
1685622098.063048, 178351444
1685622098.093822, 180425298
1685622098.097600, 182499152
1685622098.132107, 184573006
1685622098.132992, 186646860
1685622098.163154, 188720714
1685622098.163769, 190794568
1685622098.196410, 192868422
1685622098.197949, 194942276
1685622098.234386, 197016130
1685622098.234527, 199089984
1685622098.266058, 201163838
1685622098.275994, 203237692
1685622098.303488, 205311546
1685622098.307859, 207385400
1685622098.338201, 209459254
1685622098.340563, 211533108
1685622098.380104, 213606962
1685622098.383981, 215680816
1685622098.408140, 217754670
1685622098.411022, 219828524
1685622098.439396, 221902378
1685622098.441730, 223976232
