Timestamp,Memory Usage
1685622088.883143, 8
1685622088.883476, 0
1685622089.530153, 8
1685622089.530399, 0
1685622090.689294, 8
1685622090.689657, 0
1685622092.260360, 8
1685622092.260906, 0
1685622092.300236, 8
1685622092.300566, 0
1685622092.464724, 8
1685622092.465217, 0
1685622092.465333, 8
1685622092.465975, 0
1685622092.497563, 8
1685622092.498306, 0
1685622092.514038, 8
1685622092.514366, 0
1685622092.947284, 8
1685622092.947649, 0
1685622092.966948, 8
1685622092.967307, 0
1685622092.967554, 8
1685622092.967950, 0
1685622092.968635, 8
1685622092.971588, 0
1685622092.973159, 8
1685622092.973628, 0
1685622092.983730, 8
1685622092.984531, 0
1685622092.997133, 8
1685622092.997474, 0
1685622093.065051, 8
1685622093.065711, 0
1685622093.974657, 8
1685622093.975086, 0
1685622093.993797, 8
1685622093.994111, 0
1685622094.106768, 8
1685622094.107156, 0
1685622094.288526, 8
1685622094.289059, 0
1685622094.573351, 8
1685622094.573665, 0
1685622094.597321, 8
1685622094.597720, 0
1685622095.159982, 8
1685622095.160307, 0
1685622095.624285, 8
1685622095.624576, 0
1685622096.721263, 2073854
1685622096.728074, 2073854
1685622096.732071, 4147708
1685622096.736999, 6221562
1685622096.738659, 4147708
1685622096.749426, 6221562
1685622096.755640, 8295416
1685622096.755926, 10369270
1685622096.767398, 12443124
1685622096.800852, 8295416
1685622096.809546, 10369270
1685622096.812544, 14516978
1685622096.819948, 12443124
1685622096.821813, 2073854
1685622096.829276, 14516978
1685622096.829516, 4147708
1685622096.830765, 16590832
1685622096.832137, 18664686
1685622096.832687, 2073854
1685622096.834781, 6221562
1685622096.838722, 16590832
1685622096.844170, 4147708
1685622096.846068, 8295416
1685622096.850519, 20738540
1685622096.850619, 10369270
1685622096.851464, 22812394
1685622096.852797, 6221562
1685622096.854048, 12443124
1685622096.862630, 14516978
1685622096.863309, 8295416
1685622096.866693, 18664686
1685622096.869505, 16590832
1685622096.873531, 10369270
1685622096.874518, 24886248
1685622096.876199, 26960102
1685622096.876368, 18664686
1685622096.877345, 20738540
1685622096.883128, 12443124
1685622096.887504, 22812394
1685622096.889333, 24886248
1685622096.892128, 14516978
1685622096.896652, 29033956
1685622096.900579, 26960102
1685622096.901058, 31107810
1685622096.902361, 29033956
1685622096.902443, 20738540
1685622096.902731, 16590832
1685622096.913204, 31107810
1685622096.913501, 18664686
1685622096.915868, 33181664
1685622096.922418, 20738540
1685622096.923424, 33181664
1685622096.923737, 35255518
1685622096.925137, 35255518
1685622096.927826, 37329372
1685622096.932691, 39403226
1685622096.940470, 41477080
1685622096.940656, 37329372
1685622096.941712, 22812394
1685622096.944638, 39403226
1685622096.956686, 22812394
1685622096.958503, 43550934
1685622096.958696, 45624788
1685622096.964284, 41477080
1685622096.965428, 43550934
1685622096.968762, 24886248
1685622096.984627, 45624788
1685622096.986998, 47698642
1685622096.989851, 24886248
1685622096.993255, 47698642
1685622096.996164, 49772496
1685622097.006651, 49772496
1685622097.007795, 26960102
1685622097.010427, 51846350
1685622097.019832, 53920204
1685622097.024324, 51846350
